Category: All categories

Day,mall: (Singapore)
2020-02-15,65
2020-02-16,71
2020-02-17,54
2020-02-18,59
2020-02-19,51
2020-02-20,49
2020-02-21,62
2020-02-22,92
2020-02-23,66
2020-02-24,52
2020-02-25,67
2020-02-26,58
2020-02-27,54
2020-02-28,64
2020-02-29,86
2020-03-01,73
2020-03-02,50
2020-03-03,57
2020-03-04,58
2020-03-05,52
2020-03-06,73
2020-03-07,100
2020-03-08,87
2020-03-09,51
2020-03-10,56
2020-03-11,49
2020-03-12,49
2020-03-13,76
2020-03-14,98
2020-03-15,78
2020-03-16,55
2020-03-17,55
2020-03-18,45
2020-03-19,62
2020-03-20,63
2020-03-21,74
2020-03-22,55
2020-03-23,43
2020-03-24,47
2020-03-25,50
2020-03-26,51
2020-03-27,69
2020-03-28,70
2020-03-29,45
2020-03-30,57
2020-03-31,48
2020-04-01,70
2020-04-02,42
2020-04-03,58
2020-04-04,67
2020-04-05,76
2020-04-06,43
2020-04-07,36
2020-04-08,36
2020-04-09,25
2020-04-10,45
2020-04-11,38
2020-04-12,24
2020-04-13,23
2020-04-14,27
2020-04-15,29
2020-04-16,15
2020-04-17,33
2020-04-18,28
2020-04-19,36
2020-04-20,19
2020-04-21,32
2020-04-22,31
2020-04-23,22
2020-04-24,25
2020-04-25,32
2020-04-26,24
2020-04-27,29
2020-04-28,18
2020-04-29,21
2020-04-30,21
2020-05-01,35
2020-05-02,18
2020-05-03,26
2020-05-04,22
2020-05-05,30
2020-05-06,33
2020-05-07,25
2020-05-08,26
2020-05-09,38
2020-05-10,43
2020-05-11,34
2020-05-12,35
2020-05-13,32
2020-05-14,23
2020-05-15,30
2020-05-16,29
2020-05-17,28
2020-05-18,21
2020-05-19,21
2020-05-20,25
2020-05-21,20
2020-05-22,32
2020-05-23,39
2020-05-24,34
2020-05-25,34
2020-05-26,23
2020-05-27,27
2020-05-28,27
2020-05-29,31
2020-05-30,38
2020-05-31,31
2020-06-01,23
2020-06-02,40
2020-06-03,31
2020-06-04,25
2020-06-05,27
2020-06-06,35
2020-06-07,35
2020-06-08,24
2020-06-09,35
2020-06-10,32
2020-06-11,29
2020-06-12,28
2020-06-13,35
2020-06-14,31
2020-06-15,32
2020-06-16,25
2020-06-17,27
2020-06-18,27
2020-06-19,55
2020-06-20,71
2020-06-21,61
2020-06-22,60
2020-06-23,46
2020-06-24,43
2020-06-25,51
2020-06-26,69
2020-06-27,58
2020-06-28,69
2020-06-29,49
2020-06-30,52
2020-07-01,56
2020-07-02,51
2020-07-03,65
2020-07-04,73
2020-07-05,79
2020-07-06,40
2020-07-07,52
2020-07-08,47
2020-07-09,49
2020-07-10,51
2020-07-11,85
2020-07-12,70
2020-07-13,52
2020-07-14,53
2020-07-15,52
2020-07-16,45
2020-07-17,41
2020-07-18,62
2020-07-19,73
2020-07-20,67
2020-07-21,62
2020-07-22,47
2020-07-23,55
2020-07-24,67
2020-07-25,76
2020-07-26,71
2020-07-27,57
2020-07-28,44
2020-07-29,50
2020-07-30,75
2020-07-31,73
2020-08-01,69
2020-08-02,68
2020-08-03,52
2020-08-04,55
2020-08-05,58
2020-08-06,63
2020-08-07,61
2020-08-08,66
2020-08-09,76
2020-08-10,69
2020-08-11,51
2020-08-12,52
2020-08-13,44
2020-08-14,54
2020-08-15,81
2020-08-16,79
