Category: All categories

Day,online shopping: (Singapore)
2020-02-15,45
2020-02-16,41
2020-02-17,36
2020-02-18,16
2020-02-19,24
2020-02-20,28
2020-02-21,20
2020-02-22,73
2020-02-23,45
2020-02-24,20
2020-02-25,32
2020-02-26,32
2020-02-27,55
2020-02-28,24
2020-02-29,49
2020-03-01,23
2020-03-02,24
2020-03-03,60
2020-03-04,22
2020-03-05,64
2020-03-06,24
2020-03-07,44
2020-03-08,23
2020-03-09,16
2020-03-10,16
2020-03-11,31
2020-03-12,47
2020-03-13,16
2020-03-14,14
2020-03-15,32
2020-03-16,27
2020-03-17,35
2020-03-18,62
2020-03-19,31
2020-03-20,19
2020-03-21,39
2020-03-22,52
2020-03-23,29
2020-03-24,30
2020-03-25,38
2020-03-26,68
2020-03-27,45
2020-03-28,70
2020-03-29,67
2020-03-30,62
2020-03-31,48
2020-04-01,57
2020-04-02,22
2020-04-03,59
2020-04-04,66
2020-04-05,87
2020-04-06,33
2020-04-07,60
2020-04-08,45
2020-04-09,42
2020-04-10,100
2020-04-11,65
2020-04-12,72
2020-04-13,54
2020-04-14,38
2020-04-15,37
2020-04-16,47
2020-04-17,55
2020-04-18,48
2020-04-19,48
2020-04-20,44
2020-04-21,85
2020-04-22,52
2020-04-23,40
2020-04-24,64
2020-04-25,77
2020-04-26,65
2020-04-27,60
2020-04-28,46
2020-04-29,42
2020-04-30,48
2020-05-01,44
2020-05-02,88
2020-05-03,49
2020-05-04,44
2020-05-05,55
2020-05-06,32
2020-05-07,27
2020-05-08,55
2020-05-09,55
2020-05-10,57
2020-05-11,36
2020-05-12,74
2020-05-13,56
2020-05-14,44
2020-05-15,33
2020-05-16,45
2020-05-17,79
2020-05-18,30
2020-05-19,66
2020-05-20,48
2020-05-21,56
2020-05-22,41
2020-05-23,45
2020-05-24,93
2020-05-25,80
2020-05-26,54
2020-05-27,58
2020-05-28,65
2020-05-29,74
2020-05-30,48
2020-05-31,41
2020-06-01,47
2020-06-02,55
2020-06-03,50
2020-06-04,28
2020-06-05,57
2020-06-06,64
2020-06-07,53
2020-06-08,73
2020-06-09,41
2020-06-10,50
2020-06-11,58
2020-06-12,29
2020-06-13,68
2020-06-14,57
2020-06-15,55
2020-06-16,29
2020-06-17,47
2020-06-18,36
2020-06-19,34
2020-06-20,33
2020-06-21,38
2020-06-22,41
2020-06-23,33
2020-06-24,40
2020-06-25,44
2020-06-26,26
2020-06-27,50
2020-06-28,55
2020-06-29,26
2020-06-30,74
2020-07-01,49
2020-07-02,19
2020-07-03,43
2020-07-04,67
2020-07-05,34
2020-07-06,41
2020-07-07,57
2020-07-08,43
2020-07-09,50
2020-07-10,23
2020-07-11,82
2020-07-12,52
2020-07-13,15
2020-07-14,35
2020-07-15,27
2020-07-16,31
2020-07-17,28
2020-07-18,35
2020-07-19,48
2020-07-20,27
2020-07-21,35
2020-07-22,49
2020-07-23,42
2020-07-24,35
2020-07-25,39
2020-07-26,56
2020-07-27,31
2020-07-28,43
2020-07-29,35
2020-07-30,35
2020-07-31,30
2020-08-01,35
2020-08-02,52
2020-08-03,31
2020-08-04,54
2020-08-05,38
2020-08-06,27
2020-08-07,35
2020-08-08,26
2020-08-09,35
2020-08-10,12
2020-08-11,35
2020-08-12,19
2020-08-13,30
2020-08-14,39
2020-08-15,47
2020-08-16,43
